Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
1040,1040,0,-58
1041,1041,0,57
1042,1042,0,100
1043,1043,0,-59
1044,1044,0,-26
1045,1045,0,56
1046,1046,0,91
1047,1047,0,75
1048,1048,0,30
1049,1049,0,25
1050,1050,0,3
1051,1051,0,88
1052,1052,0,-26
1053,1053,0,-89
1054,1054,0,-28
1055,1055,0,-24
1056,1056,0,54
1057,1057,0,46
1058,1058,0,-20
1059,1059,0,-46
1060,1060,0,1
1061,1061,0,-36
1062,1062,0,78
1063,1063,0,55
1064,1064,0,91
1065,1065,0,90
1066,1066,0,-32
1067,1067,0,-45
1068,1068,0,-59
1069,1069,0,-17
1070,1070,0,-11
1071,1071,0,-60
1072,1072,0,60
1073,1073,0,79
1074,1074,0,56
1075,1075,0,84
1076,1076,0,-125
1077,1077,0,-33
1078,1078,0,41
1079,1079,0,26
1080,1080,0,131
1081,1081,0,-87
1082,1082,0,29
1083,1083,0,38
1084,1084,0,-3
1085,1085,0,-4
1086,1086,0,2
1087,1087,0,-26
1088,1088,0,68
1089,1089,0,21
1090,1090,0,-33
1091,1091,0,-26
1092,1092,0,30
1093,1093,0,81
1094,1094,0,-12
1095,1095,0,-43
1096,1096,0,-3
1097,1097,0,-25
1098,1098,0,-37
1099,1099,0,37
1100,1100,0,-111
1101,1101,0,61
1102,1102,0,7
1103,1103,0,25
1104,1104,0,37
1105,1105,0,-5
1106,1106,0,19
1107,1107,0,5
1108,1108,0,-22
1109,1109,0,45
1110,1110,0,43
1111,1111,0,67
1112,1112,0,72
1113,1113,0,43
1114,1114,0,118
1115,1115,0,-32
1116,1116,0,47
1117,1117,0,-47
1118,1118,0,-93
1119,1119,0,27
1120,1120,0,-9
1121,1121,0,-19
1122,1122,0,32
1123,1123,0,108
1124,1124,0,53
1125,1125,0,74
1126,1126,0,77
1127,1127,0,-143
1128,1128,0,-62
1129,1129,0,7
1130,1130,0,22
1131,1131,0,120
1132,1132,0,-81
1133,1133,0,11
1134,1134,0,98
1135,1135,0,55
1136,1136,0,32
1137,1137,0,-25
1138,1138,0,-3
1139,1139,0,27
1140,1140,0,44
1141,1141,0,-6
1142,1142,0,14
1143,1143,0,5
1144,1144,0,-37
1145,1145,0,48
1146,1146,0,61
1147,1147,0,-8
1148,1148,0,67
1149,1149,0,22
1150,1150,0,-43
1151,1151,0,68
1152,1152,0,52
1153,1153,0,-5
1154,1154,0,17
1155,1155,0,11
1156,1156,0,33
1157,1157,0,50
1158,1158,0,-37
1159,1159,0,-47
1160,1160,0,-44
1161,1161,0,87
1162,1162,0,83
1163,1163,0,24
1164,1164,0,-33
1165,1165,0,23
1166,1166,0,62
1167,1167,0,72
1168,1168,0,3
1169,1169,0,1
1170,1170,0,9
1171,1171,0,9
1172,1172,0,20
1173,1173,0,13
1174,1174,0,-85
1175,1175,0,-42
1176,1176,0,17
1177,1177,0,18
1178,1178,0,39
1179,1179,0,25
1180,1180,0,56
1181,1181,0,38
1182,1182,0,-49
1183,1183,0,-32
1184,1184,0,0
1185,1185,0,2
1186,1186,0,-39
1187,1187,0,78
1188,1188,0,58
1189,1189,0,55
1190,1190,0,86
1191,1191,0,195
1192,1192,0,59
1193,1193,0,89
1194,1194,0,-47
1195,1195,0,-113
1196,1196,0,-14
1197,1197,0,-110
1198,1198,0,91
1199,1199,0,146
1200,1200,0,-61
1201,1201,0,-29
1202,1202,0,-30
1203,1203,0,-24
1204,1204,0,31
1205,1205,0,-19
1206,1206,0,46
1207,1207,0,60
1208,1208,0,6
1209,1209,0,11
1210,1210,0,-18
1211,1211,0,-30
1212,1212,0,33
1213,1213,0,85
1214,1214,0,-1
1215,1215,0,-142
1216,1216,0,-118
1217,1217,0,-64
1218,1218,0,18
1219,1219,0,3
1220,1220,0,45
1221,1221,0,-22
1222,1222,0,74
1223,1223,0,-9
1224,1224,0,-29
1225,1225,0,11
1226,1226,0,-4
1227,1227,0,-12
1228,1228,0,39
1229,1229,0,69
1230,1230,0,6
1231,1231,0,-4
1232,1232,0,-62
1233,1233,0,-49
1234,1234,0,14
1235,1235,0,28
1236,1236,0,38
1237,1237,0,9
1238,1238,0,-32
1239,1239,0,37
1240,1240,0,70
1241,1241,0,-8
1242,1242,0,-30
1243,1243,0,32
1244,1244,0,51
1245,1245,0,55
1246,1246,0,-58
1247,1247,0,-126
1248,1248,0,-40
1249,1249,0,-56
1250,1250,0,55
1251,1251,0,27
1252,1252,0,-4
1253,1253,0,-23
1254,1254,0,121
1255,1255,0,43
1256,1256,0,20
1257,1257,0,18
1258,1258,0,58
1259,1259,0,121
1260,1260,0,69
1261,1261,0,5
1262,1262,0,-85
1263,1263,0,-8
1264,1264,0,21
1265,1265,0,-89
1266,1266,0,26
1267,1267,0,36
1268,1268,0,-63
1269,1269,0,34
1270,1270,0,130
1271,1271,0,15
1272,1272,0,-150
1273,1273,0,-36
1274,1274,0,8
1275,1275,0,177
1276,1276,0,111
1277,1277,0,-87
1278,1278,0,26
1279,1279,0,22
1280,1280,0,11
1281,1281,0,32
1282,1282,0,95
1283,1283,0,73
1284,1284,0,-97
1285,1285,0,-92
1286,1286,0,23
1287,1287,0,59
1288,1288,0,-21
1289,1289,0,-17
1290,1290,0,27
1291,1291,0,132
1292,1292,0,56
1293,1293,0,-45
1294,1294,0,-49
1295,1295,0,68
1296,1296,0,53
1297,1297,0,27
1298,1298,0,55
1299,1299,0,48
