Frequency,Attenuation_dB
3.750270000000000000e+05,-8.593023628325960317e+01
3.825270000000000000e+05,-8.600021331556719417e+01
3.900270000000000000e+05,-8.590880044720361752e+01
3.975270000000000000e+05,-8.574749406871505641e+01
4.050270000000000000e+05,-8.595434865926216617e+01
4.125270000000000000e+05,-8.604993649206056716e+01
4.200270000000000000e+05,-8.599325565446008568e+01
4.275270000000000000e+05,-8.608641724627355529e+01
4.350270000000000000e+05,-8.640443436486495443e+01
4.425270000000000000e+05,-8.532971327305455134e+01
4.500270000000000000e+05,-8.588906126980874944e+01
4.575270000000000000e+05,-8.609292934421588939e+01
4.650270000000000000e+05,-8.600977882917072748e+01
4.725270000000000000e+05,-8.595678090038236974e+01
4.800270000000000000e+05,-8.609752123807432156e+01
4.875270000000000000e+05,-8.596355076672296036e+01
4.950270000000000000e+05,-8.600618400782806816e+01
5.025270000000000000e+05,-8.591178428241350673e+01
5.100270000000000000e+05,-8.601506925279396398e+01
5.175270000000000000e+05,-8.597512582821957494e+01
5.250270000000000000e+05,-8.596037174035012640e+01
5.325270000000000000e+05,-8.603077675953440462e+01
5.400270000000000000e+05,-8.601087802864518039e+01
5.475270000000000000e+05,-8.612654951088748589e+01
5.550270000000000000e+05,-8.618197214414496443e+01
5.625270000000000000e+05,-8.600576417563232212e+01
5.700270000000000000e+05,-8.607566272983753208e+01
5.775270000000000000e+05,-8.603566166207160393e+01
5.850270000000000000e+05,-8.600531812311993463e+01
5.925270000000000000e+05,-8.609422625666725537e+01
6.000270000000000000e+05,-8.620395599792317398e+01
6.075270000000000000e+05,-8.604721985022111141e+01
6.150270000000000000e+05,-8.595514844509681041e+01
6.225270000000000000e+05,-8.598727122448053706e+01
6.300270000000000000e+05,-8.608476540076792105e+01
6.375270000000000000e+05,-8.609380423588378051e+01
6.450270000000000000e+05,-8.608220873700713582e+01
6.525270000000000000e+05,-8.602775784546240345e+01
6.600270000000000000e+05,-8.588376875816760503e+01
6.675270000000000000e+05,-8.599609584143784957e+01
6.750270000000000000e+05,-8.603848639317432401e+01
6.825270000000000000e+05,-8.598658134411269316e+01
6.900270000000000000e+05,-8.606823991253472173e+01
6.975270000000000000e+05,-8.607875333748138758e+01
7.050270000000000000e+05,-8.611755291138833002e+01
7.125270000000000000e+05,-8.622056347285862898e+01
7.200270000000000000e+05,-8.612551747846458738e+01
7.275270000000000000e+05,-8.597384138965082911e+01
7.350270000000000000e+05,-8.628366001416941344e+01
7.425270000000000000e+05,-8.614974795670578089e+01
7.500270000000000000e+05,-8.618924802129534157e+01
7.575270000000000000e+05,-8.592755577513983667e+01
7.650270000000000000e+05,-8.603479304716265119e+01
7.725270000000000000e+05,-8.600344449185094220e+01
7.800270000000000000e+05,-8.612968697823420428e+01
7.875270000000000000e+05,-8.604478804213638909e+01
7.950270000000000000e+05,-8.606282912643649752e+01
8.025270000000000000e+05,-8.601937194725925906e+01
8.100270000000000000e+05,-8.605790429191115720e+01
8.175270000000000000e+05,-8.606769955963761731e+01
8.250270000000000000e+05,-8.601635501727854205e+01
8.325270000000000000e+05,-8.597321302508747465e+01
8.400270000000000000e+05,-8.601296758750581262e+01
8.475270000000000000e+05,-8.606580125107041113e+01
8.550270000000000000e+05,-8.594583518075867801e+01
8.625270000000000000e+05,-8.611384301633259497e+01
8.700270000000000000e+05,-8.625423999618034543e+01
8.775270000000000000e+05,-8.607682249485995385e+01
8.850270000000000000e+05,-8.603707486003216331e+01
8.925270000000000000e+05,-8.615824818686398601e+01
9.000270000000000000e+05,-8.624047450921469249e+01
9.075270000000000000e+05,-8.597948774965647090e+01
9.150270000000000000e+05,-8.622041013169601342e+01
