Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_j[31:0],top_i/baseband_i[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
791,791,0,1,154289,325337
792,792,0,1,131605,352325
793,793,0,1,110689,362840
794,794,0,1,92803,358884
795,795,0,1,78758,346203
796,796,0,1,68505,332153
797,797,0,1,60773,323337
798,798,0,1,53075,323404
799,799,0,1,42205,332125
800,800,0,1,25138,345660
801,801,0,1,137,358090
802,802,0,1,-32331,363621
803,803,0,1,-69332,358613
804,804,0,1,-105914,342865
805,805,0,1,-136276,319556
806,806,0,1,-155453,294129
807,807,0,1,-160787,272388
808,808,0,1,-152881,258613
809,809,0,1,-135551,254324
810,810,0,1,-114847,258161
811,811,0,1,-97320,266768
812,812,0,1,-88130,276340
813,813,0,1,-89633,284092
814,814,0,1,-100696,289306
815,815,0,1,-117216,293215
816,816,0,1,-133359,298190
817,817,0,1,-143343,306394
818,818,0,1,-143096,318519
819,819,0,1,-131367,333200
820,820,0,1,-109986,347362
821,821,0,1,-83243,357322
822,822,0,1,-56686,360282
823,823,0,1,-35640,355491
824,824,0,1,-23849,344709
825,825,0,1,-22623,331627
826,826,0,1,-30609,320593
827,827,0,1,-44217,315069
828,828,0,1,-58602,316343
829,829,0,1,-68858,323124
830,830,0,1,-71313,332141
831,831,0,1,-64526,339417
832,832,0,1,-49773,341857
833,833,0,1,-30853,338306
834,834,0,1,-13334,329941
835,835,0,1,-3154,319639
836,836,0,1,-5147,310848
837,837,0,1,-21648,306203
838,838,0,1,-51789,306774
839,839,0,1,-91552,311814
840,840,0,1,-134786,319441
841,841,0,1,-174797,327620
842,842,0,1,-206152,335098
843,843,0,1,-225995,341778
844,844,0,1,-234599,348515
845,845,0,1,-234903,356366
846,846,0,1,-231275,365709
847,847,0,1,-227915,375690
848,848,0,1,-227575,384324
849,849,0,1,-230899,389151
850,850,0,1,-236696,388194
851,851,0,1,-242785,380858
852,852,0,1,-247097,368209
853,853,0,1,-248511,352689
854,854,0,1,-246963,337271
855,855,0,1,-242951,324502
856,856,0,1,-236795,315823
857,857,0,1,-227883,311441
858,858,0,1,-214668,310773
859,859,0,1,-195162,313142
860,860,0,1,-168161,318365
861,861,0,1,-134284,326768
862,862,0,1,-96551,338853
863,863,0,1,-59918,354435
864,864,0,1,-29975,371945
865,865,0,1,-11092,388197
866,866,0,1,-4801,398969
867,867,0,1,-8960,400148
868,868,0,1,-18271,389192
869,869,0,1,-25809,366312
870,870,0,1,-25246,334785
871,871,0,1,-12721,300443
872,872,0,1,11941,270087
873,873,0,1,45425,249676
874,874,0,1,82167,242622
875,875,0,1,116152,248834
876,876,0,1,142629,264759
877,877,0,1,159221,284452
878,878,0,1,165962,301164
879,879,0,1,164807,309277
880,880,0,1,158468,305669
881,881,0,1,149597,290533
882,882,0,1,140243,267270
883,883,0,1,131822,241667
884,884,0,1,125339,220384
